"","sim","N","effect1v2","effect2v3","effect1v3","stdev","dlow1v2","dhigh1v2","dlow1v3","dhigh1v3","dlow2v3","dhigh2v3","mdiff1v2","mdiff1v3","mdiff2v3","m1","m2","m3","mlow1v2","mhigh1v2","mlow1v3","mhigh1v3","mlow2v3","mhigh2v3","omniP","p1v2","p2v3","p1v3","quadeP","quadeP1v2","quadeP2v3","quadeP1v3","overallBF","BF1v2","BF1v3","BF2v3","oompcc","oomchance"
"23",3,100,-0.0496177492884487,0.00662603848493305,-0.0466918272921187,11.5,-0.245610662405927,0.146625142714771,-0.24267819143314,0.149529806456914,-0.189389238729873,0.20260789433941,-0.16,-0.14,0.02,3.23,3.39,3.37,-0.799841018197367,0.479841018197367,-0.734944317522968,0.454944317522968,-0.578915009654208,0.618915009654208,0.852250958550729,1,1,1,0.83230343249991,1,1,1,0.0417309880869254,0.124794213252589,0.12309851029449,0.110957543104789,0.416666666666667,0.174
"24",4,100,0.278093226712953,-0.104131698199856,0.174155215893974,11.5,0.077639071980119,0.477194802943675,-0.0237657756465815,0.371210361110021,-0.300401427540125,0.0926605566513773,0.82,0.51,-0.31,3.99,3.17,3.48,0.234923578135074,1.40507642186493,-0.0710624965290434,1.09106249652904,-0.900701261599744,0.280701261599744,0.0210715953258156,0.0194683427876198,0.900794385540031,0.254079022716058,0.00663013114048164,0.00468764578523869,0.368565397494045,0.296824371954349,1.56421539404167,4.16213898199007,0.474038771478559,0.187141727229113,0.413333333333333,0.222
"25",5,100,-0.031354715319876,-0.0416225675230366,-0.0770617633535414,11.5,-0.22732060330965,0.164769252779155,-0.27315731949097,0.119421391049157,-0.237599589773435,0.154564226518302,-0.1,-0.24,-0.14,3.35,3.45,3.59,-0.732828884377913,0.532828884377913,-0.857961551432441,0.377961551432441,-0.807403261628085,0.527403261628085,0.756365445625819,1,1,1,0.904997003572529,1,1,1,0.0460020684436349,0.116143643540343,0.147694259414015,0.120450850619267,0.413333333333333,0.247
"26",6,100,-0.0708362416861313,-0.029904998630487,-0.1078947344164,11.5,-0.266901982554192,0.125585941981376,-0.304194403687268,0.0889461368583958,-0.225870154567756,0.166210934850011,-0.23,-0.33,-0.1,3.25,3.48,3.58,-0.874260463290823,0.414260463290823,-0.936880027616982,0.276880027616982,-0.763506785639369,0.563506785639369,0.576230543114498,1,1,0.849698859849483,0.231669004534578,0.535412541583149,1,0.338246369057409,0.0625322105832031,0.141256924873827,0.194467678209943,0.115643266753038,0.383333333333333,0.886
"27",7,100,0.0548179708245732,-0.0479021665871114,0.00646327428716752,11.5,-0.141464777829406,0.250824613295253,-0.18955148728076,0.202445435434749,-0.243891137090246,0.148328158898341,0.17,0.02,-0.15,3.39,3.22,3.37,-0.445339963693954,0.785339963693954,-0.593997445698993,0.633997445698993,-0.771334198311697,0.471334198311697,0.836548379669125,1,1,1,0.7653172899558,1,1,1,0.0415709047701888,0.128127062993474,0.1109460410927,0.123784720892908,0.406666666666667,0.375
"28",8,100,-0.0465322370910735,-0.0971008312455224,-0.136323179503665,11.5,-0.242518268380741,0.149688261340534,-0.332894133588366,0.0609293154241496,-0.293318365367096,0.0996042773607666,-0.15,-0.45,-0.3,3.03,3.18,3.48,-0.789626549988199,0.489626549988199,-1.10498591762957,0.204985917629572,-0.913038094360674,0.313038094360674,0.361900364532922,1,1,0.527705401793212,0.417131827458116,1,1,0.562240856706124,0.107509504723855,0.123009613919314,0.271280573981609,0.174809891424453,0.386666666666667,0.82
"29",9,100,0.0914023438685492,0.0178274231016776,0.107493555642488,11.5,-0.105235663259962,0.287581154766846,-0.0893420671115391,0.303789966476767,-0.178229619792606,0.213794557314943,0.29,0.34,0.05,3.66,3.37,3.32,-0.339549409353888,0.919549409353888,-0.287603914957603,0.967603914957603,-0.506506944461227,0.606506944461227,0.486200558156607,1,1,0.855049297428386,0.467013969120445,0.853785008300661,1,0.859763061220823,0.0732694254225298,0.165982415673482,0.193660899508697,0.112446117957314,0.406666666666667,0.349
"30",10,100,0.019475476830565,-0.00958952582145672,0.0109074702517096,11.5,-0.176588755177594,0.215441491460534,-0.185122309559253,0.206882235387272,-0.205566280743598,0.186435597006256,0.06,0.03,-0.03,3.38,3.32,3.35,-0.551297059019076,0.671297059019076,-0.515740737072029,0.575740737072029,-0.650745067648715,0.590745067648715,0.980086044989955,1,1,1,0.977135744202534,1,1,1,0.0356796907392139,0.112782893874207,0.111363570525307,0.111217291493571,0.396666666666667,0.602
"31",1,500,-0.00442059287593827,-0.0368468309781085,-0.0391069156079289,11.5,-0.0920710616461818,0.0832343041926734,-0.126773152818629,0.0485984686185077,-0.124510431962161,0.0508536576243161,-0.014,-0.128,-0.114,3.43,3.444,3.558,-0.292269274665601,0.264269274665601,-0.415590241337231,0.159590241337231,-0.385845688179014,0.157845688179014,0.614115558060909,1,1,1,0.189862489184501,1,0.501277021662686,0.256061230464573,0.012300136163103,0.0505154524815067,0.0734960347105804,0.070430653028403,0.352,0.965
"32",2,500,-0.0232422592192291,-0.011639875946602,-0.0368927247254257,11.5,-0.110894729237306,0.0644334878164085,-0.124556377010773,0.0508078610635509,-0.0992892735816432,0.0760211812117446,-0.078,-0.116,-0.038,3.462,3.54,3.578,-0.372872316729376,0.216872316729376,-0.392270807844696,0.160270807844696,-0.324848765124621,0.248848765124621,0.719096758202531,1,1,1,0.848203544832738,1,1,1,0.0110270299375788,0.0574920066299035,0.0704898363619882,0.051992189537536,0.365333333333333,0.385
"33",3,500,0.0277866706342904,0.00935564181541564,0.0376481762818425,11.5,-0.0598964388289024,0.115441954936253,-0.0500540225393346,0.125312686319878,-0.0783032189345201,0.0970051309184151,0.09,0.118,0.028,3.394,3.304,3.276,-0.194592686912034,0.374592686912034,-0.157394843162999,0.393394843162999,-0.234967564908772,0.290967564908772,0.677436922715267,1,1,1,0.678661178248195,1,1,1,0.0124076081276694,0.0609005859010577,0.0714819344498231,0.0513762190605806,0.368,0.262
"34",4,500,0.0330358289054766,-0.0124827968296822,0.0213675619789346,11.5,-0.0546569112532312,0.120695492486257,-0.0663054116208524,0.109019135212573,-0.100132218575371,0.0751791286623985,0.106,0.068,-0.038,3.5,3.394,3.432,-0.175928120980591,0.387928120980591,-0.211622220483604,0.347622220483604,-0.305478842045014,0.229478842045014,0.747272442369214,1,1,1,0.81853904981466,1,1,1,0.010159702182621,0.0659250465253686,0.0563099490135114,0.0522555637616394,0.360666666666667,0.639
"35",5,500,0.0383364131030872,-0.0414182715828447,-0.00185741301783423,11.5,-0.0493672769898173,0.126001726386254,-0.0895088124587638,0.0857958470881583,-0.129087436738175,0.0462923506530163,0.122,-0.006,-0.128,3.424,3.302,3.43,-0.157618623989079,0.401618623989079,-0.28983144298813,0.27783144298813,-0.399541203141305,0.143541203141305,0.594814111604673,1,1,1,0.625702327992331,1,1,1,0.0137303278749868,0.0724157175994548,0.050313829498726,0.0769699364104968,0.355333333333333,0.86
"36",6,500,-0.0382499308217728,0.0367303867904164,-0.00190752725220968,11.5,-0.125915142028738,0.0494535707418612,-0.089558905732907,0.0857457620954002,-0.0509698556387728,0.124393858024825,-0.114,-0.006,0.108,3.324,3.438,3.33,-0.375873731775692,0.147873731775693,-0.282374671169772,0.270374671169772,-0.1503544780383,0.3663544780383,0.637570831316234,1,1,1,0.813755704891866,1,1,1,0.0118179692993058,0.0722967826288641,0.0503161888761488,0.0702810414887633,0.364,0.412
"37",7,500,-0.049885282486948,0.0301807018923009,-0.0193347096212396,11.5,-0.137567176129959,0.0378465248738859,-0.106985484803194,0.068335430714239,-0.0575066501746319,0.117837833441103,-0.156,-0.062,0.094,3.318,3.474,3.38,-0.430770372355491,0.118770372355491,-0.343755093120692,0.219755093120692,-0.179663109747312,0.367663109747312,0.53715476876472,0.795559401391712,1,1,0.342049133799766,0.476643849248112,0.879900201030373,1,0.0148957291906226,0.0932373863514066,0.0551642712736607,0.0630359132978491,0.366,0.335
